date,amount,currency,merchant,description,category,country,label_subscription,label_anomaly,label_reason
2023-01-02,170.96,HUF,Ikea,Ikea purchase,Dining,HU,0,0,
2023-01-03,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-01-03,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-01-03,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-01-03,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-01-03,25.00,EUR,AnnualMagazine,AnnualMagazine subscription,Entertainment,UK,1,0,
2023-01-03,79.93,EUR,MarketSquare,MarketSquare purchase,Dining,DE,0,0,
2023-01-03,98.33,HUF,CafeBreeze,CafeBreeze purchase,Health,DE,0,0,
2023-01-03,71.50,EUR,Tesco,Tesco extra,Groceries,SK,0,0,
2023-01-04,108.24,HUF,PharmaPlus,PharmaPlus purchase,Home,HU,0,0,
2023-01-04,130.48,EUR,HobbyShop,HobbyShop purchase,Dining,HU,0,0,
2023-01-04,28.78,EUR,Ikea,Ikea extra,Groceries,HU,0,0,
2023-01-05,80.53,HUF,CinemaCity,CinemaCity purchase,Groceries,AT,0,0,
2023-01-10,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-01-10,32.81,EUR,MarketSquare,MarketSquare purchase,Fuel,AT,0,0,
2023-01-10,28.31,EUR,Ikea,Ikea purchase,Leisure,HU,0,0,
2023-01-11,75.91,EUR,Shell,Shell purchase,Leisure,AT,0,0,
2023-01-11,28.59,HUF,CinemaCity,CinemaCity extra,Dining,HU,0,0,
2023-01-12,50.73,EUR,CafeBreeze,CafeBreeze purchase,Leisure,HU,0,0,
2023-01-13,7.01,HUF,BookWorld,BookWorld extra,Health,HU,0,0,
2023-01-16,81.55,EUR,HobbyShop,HobbyShop purchase,Dining,DE,0,0,
2023-01-17,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-01-19,16.53,EUR,MarketSquare,MarketSquare purchase,Dining,HU,0,0,
2023-01-19,66.50,EUR,PharmaPlus,PharmaPlus purchase,Books,AT,0,0,
2023-01-22,25.73,EUR,Shell,Shell purchase,Home,HU,0,0,
2023-01-23,38.43,HUF,Shell,Shell extra,Transport,HU,0,0,
2023-01-24,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-01-26,19.83,EUR,CinemaCity,CinemaCity purchase,Fuel,DE,0,0,
2023-01-26,50.69,HUF,Tesco,Tesco extra,Transport,SK,0,0,
2023-01-31,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-02-01,69.14,HUF,CinemaCity,CinemaCity purchase,Books,HU,0,0,
2023-02-01,150.95,EUR,CinemaCity,CinemaCity purchase,Fuel,HU,0,0,
2023-02-01,84.07,HUF,MarketSquare,MarketSquare extra,Leisure,RO,0,0,
2023-02-02,9.99,EUR,Netflix,Netflix subscription,Entertainment,US,1,0,
2023-02-02,4.99,EUR,Spotify,Spotify subscription,Entertainment,SE,1,0,
2023-02-02,35.00,HUF,GymPass,GymPass subscription,Health,HU,1,0,
2023-02-03,12.00,EUR,CloudBackup,CloudBackup subscription,Utilities,IE,1,0,
2023-02-03,85.26,EUR,Shell,Shell purchase,Home,DE,0,0,
2023-02-05,99.95,HUF,MarketSquare,MarketSquare purchase,Fuel,HU,0,0,
2023-02-05,25.45,EUR,HobbyShop,HobbyShop purchase,Groceries,HU,0,0,
2023-02-06,66.49,EUR,Ikea,Ikea purchase,Groceries,AT,0,0,
2023-02-07,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-02-07,30.25,EUR,CafeBreeze,CafeBreeze purchase,Books,DE,0,0,
2023-02-07,33.55,EUR,MarketSquare,MarketSquare purchase,Fuel,AT,0,0,
2023-02-08,22.27,EUR,Shell,Shell purchase,Health,HU,0,0,
2023-02-10,72.00,EUR,CafeBreeze,Cafe abroad,Dining,IT,0,1,country_switch
2023-02-14,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-02-15,75.49,EUR,HobbyShop,HobbyShop purchase,Groceries,DE,0,0,
2023-02-18,129.50,HUF,CafeBreeze,CafeBreeze purchase,Health,DE,0,0,
2023-02-21,45.00,HUF,WeeklyGrocer,WeeklyGrocer subscription,Groceries,HU,1,0,
2023-02-21,18.71,EUR,MarketSquare,MarketSquare purchase,Home,DE,0,0,
